ZIPCODE,FREQUENCY
20001-5429,1
20853,1
98501,1
59330,1
89142,1
44310,1
62062,1
34786,1
923,1
7202,1
98407,1
40205,1
50313,1
957,1
35802-1417,1
60485,1
30340-3256,1
33018,1
48210-2758,1
30017,1
5517,1
54449,1
850201464,1
852251078,1
30252,1
34275,1
37204,1
50707,1
54476,1
52753,1
53531,1
600630,1
66062,1
90042,1
48213,1
48609-6751,1
38641,1
33014,1
75551,1
27046,1
17547,1
93560,1
47711,1
34983,1
33312,1
48837,1
30680,1
43055,1
60340,1
64320,1
35205-3021,1
49444,1
77581,1
29307,1
27614,1
46324-2035,1
76028,1
50219,1
61036,1
60085-6633,1
33181,1
2860,1
34746,1
89027-2709,1
11766,1
37849,1
47307,1
50009,1
32789,1
54411,1
32534,1
76040,1
30342,1
31322,1
82935,1
62701,1
90025,1
60508,1
94601,1
61849,1
55362,1
60928,1
32827,1
3087,1
60158,1
99347,1
48021,1
95205,1
78385,1
29406,1
37397,1
37820,1
49302,1
46382,1
60743,1
46130,1
46308,1
55975,1
92078,1
76548,1
60922,1
19146,1
97217,1
94028,1
39111,1
35630,1
60313,1
46305,1
11232,1
91423,1
T5M 0L1,1
53555,1
79936,1
98569-9412,1
77074,1
68237,1
39401,1
54959,1
5301,1
60470,1
79925,1
6053,1
94710,1
31749,1
56379,1
18326,1
28112,1
83402,1
99352,1
46332,1
40320,1
33161,1
33334,1
49854,1
37122,1
48152,1
60065,1
73106,1
6065,1
78046,1
37772,1
8524,1
36801,1
46302,1
38610,1
91335,1
66022,1
2458,1
27106,1
98001,1
22209,1
6062,1
53066,1
20180-8566,1
55003,1
76010,1
38930,1
23237-2389,1
76112,1
76105,1
49005,1
91977,1
31548,1
62557,1
60197,1
52621,1
95823,1
85122,1
91352,1
2905,1
45322,1
31808,1
27610,1
57209,1
38018,1
61254,1
45406,1
85024,1
42536,1
53183,1
98056,1
75236,1
98370,1
28078-3823,1
60027,1
91942,1
30326,1
60909,1
99506,1
1545,1
75134,1
48617,1
80804,1
98072,1
33130,1
12065,1
80012,1
33418,1
95667,1
46883,1
34996,1
